2024-12-23 01:18:47,508 - Epoch 1/10, Loss: 1.6933, Train Acc: 0.3182
2024-12-23 01:19:10,045 - Epoch 2/10, Loss: 1.6282, Train Acc: 0.3637
2024-12-23 01:19:32,983 - Epoch 3/10, Loss: 1.6134, Train Acc: 0.3747
2024-12-23 01:19:56,574 - Epoch 4/10, Loss: 1.6012, Train Acc: 0.3895
2024-12-23 01:20:20,250 - Epoch 5/10, Loss: 1.5857, Train Acc: 0.3908
2024-12-23 01:20:44,060 - Epoch 6/10, Loss: 1.5821, Train Acc: 0.3922
2024-12-23 01:21:07,617 - Epoch 7/10, Loss: 1.5774, Train Acc: 0.3746
2024-12-23 01:21:31,245 - Epoch 8/10, Loss: 1.5700, Train Acc: 0.3371
2024-12-23 01:21:54,971 - Epoch 9/10, Loss: 1.5633, Train Acc: 0.3962
2024-12-23 01:22:18,675 - Epoch 10/10, Loss: 1.5531, Train Acc: 0.3827
2025-05-31 07:08:09,300 - Epoch 1/400, Loss: 1.2063, Train Acc: 0.2596, Val Acc: 0.3032
2025-05-31 07:08:46,840 - Epoch 2/400, Loss: 1.1585, Train Acc: 0.3096, Val Acc: 0.2779
2025-05-31 07:09:24,971 - Epoch 3/400, Loss: 1.1462, Train Acc: 0.3182, Val Acc: 0.3160
2025-05-31 07:10:02,844 - Epoch 4/400, Loss: 1.1347, Train Acc: 0.3338, Val Acc: 0.3209
2025-05-31 07:10:40,897 - Epoch 5/400, Loss: 1.1188, Train Acc: 0.3440, Val Acc: 0.2983
2025-05-31 07:11:18,904 - Epoch 6/400, Loss: 1.1067, Train Acc: 0.3483, Val Acc: 0.3630
2025-05-31 07:11:57,007 - Epoch 7/400, Loss: 1.0890, Train Acc: 0.3696, Val Acc: 0.3790
2025-05-31 07:12:34,765 - Epoch 8/400, Loss: 1.0745, Train Acc: 0.3779, Val Acc: 0.3409
2025-05-31 07:13:12,570 - Epoch 9/400, Loss: 1.0576, Train Acc: 0.3938, Val Acc: 0.3834
2025-05-31 07:13:50,538 - Epoch 10/400, Loss: 1.0489, Train Acc: 0.3996, Val Acc: 0.3967
2025-05-31 07:14:28,343 - Epoch 11/400, Loss: 1.0277, Train Acc: 0.4170, Val Acc: 0.4375
2025-05-31 07:15:06,170 - Epoch 12/400, Loss: 1.0124, Train Acc: 0.4307, Val Acc: 0.4614
2025-05-31 07:15:43,835 - Epoch 13/400, Loss: 0.9972, Train Acc: 0.4406, Val Acc: 0.4574
2025-05-31 07:16:21,736 - Epoch 14/400, Loss: 0.9816, Train Acc: 0.4476, Val Acc: 0.4902
2025-05-31 07:16:59,497 - Epoch 15/400, Loss: 0.9701, Train Acc: 0.4641, Val Acc: 0.4987
2025-05-31 07:17:37,257 - Epoch 16/400, Loss: 0.9590, Train Acc: 0.4688, Val Acc: 0.5133
2025-05-31 07:18:15,070 - Epoch 17/400, Loss: 0.9506, Train Acc: 0.4804, Val Acc: 0.5115
2025-05-31 07:18:52,849 - Epoch 18/400, Loss: 0.9423, Train Acc: 0.4855, Val Acc: 0.5035
2025-05-31 07:19:30,538 - Epoch 19/400, Loss: 0.9272, Train Acc: 0.4948, Val Acc: 0.5253
2025-05-31 07:20:08,295 - Epoch 20/400, Loss: 0.9198, Train Acc: 0.5002, Val Acc: 0.5386
2025-05-31 07:20:46,031 - Epoch 21/400, Loss: 0.9065, Train Acc: 0.5057, Val Acc: 0.5527
2025-05-31 07:21:23,871 - Epoch 22/400, Loss: 0.9090, Train Acc: 0.5051, Val Acc: 0.5598
2025-05-31 07:22:01,514 - Epoch 23/400, Loss: 0.8881, Train Acc: 0.5186, Val Acc: 0.5421
